source;radio;association;class;distance(kpc);l(deg);b(deg);period(s);pdot(1e-11s/s)
SGR1627-41;FALSE;SNR G337.0-0.1;Magnetar;11;336.98;-0.11;2.59;1.9
1E2259+586;FALSE;SNR CTB109;Magnetar;3.2;109.09;-1;6.98;0.048
XTEJ1810-197;True;NAN;Magnetar;3.5;10.73;-0.16;5.54;0.283
SGR1806-20;FALSE;W31 open cluster;Magnetar;8.7;10;-0.24;7.75;7.5
CXOUJ1647-4552;FALSE;Westerlund1;Magnetar;4;339.55;-0.43;10.61;0.097
SGRJ0501+4516;FALSE;SNR HB9;Magnetar;1.5;161.55;1.95;5.76;0.594
1E1547-5408;True;SNR G327.24-0.13;Magnetar;4.5;327.24;-0.13;2.07;4.77
SGRJ0418+5729;FALSE;NAN;Magnetar;2;147.98;5.12;9.08;0.0004
SGRJ1833-0832;FALSE;NAN;Magnetar;NAN;23.34;0.02;7.57;0.35
SwiftJ1822.3-1606;FALSE;NAN;Magnetar;1.6;15.35;-1.02;8.44;0.013
SwiftJ1834.9-0846;FALSE;NAN;Magnetar;4.2;23.25;-0.34;2.48;0.806
1E1048.1-5937;FALSE;NAN;Magnetar;9;288.26;-0.52;6.46;2.18
SGRJ1745-2900;True;Galactic Center;Magnetar;8.3;359.94;-0.05;3.76;3.06
SGRJ1935+2154;True;FRB;Magnetar;9;57.25;0.82;3.24;1.43
1E1841-045;FALSE;SNR Kes73;Magnetar;8.5;27.39;-0.01;11.79;4.09
SGR1900+14;FALSE;open cluster;Magnetar;12.5;43.02;0.77;5.2;9.2
4U0142+614;FALSE;NAN;Magnetar;3.6;129.38;-0.43;8.69;0.2
1RXSJ170849.0-4009;FALSE;NAN;Magnetar;3.8;346.48;0.04;11.01;1.95
CXOUJ010043.1-721;FALSE;SMC;Magnetar;62.4;301.93;-44.92;8.02;1.88
CXOUJ171405.7-3810;FALSE;SNR CTB37B;Magnetar;13.2;348.68;0.37;3.83;6.4
SGR0526-66;FALSE;SNR N49 - LMC;Magnetar;49.7;276.09;-33.25;8.05;3.8
PSRJ1119-6127;True;SNR G292.2-0.5;Magnetar;8.4;292.151295;-0.536942;0.407;0.4
PSRJ1846-0258;FALSE;NAN;Magnetar;6;29.711946;-0.240114;0.33;0.71
PSRJ1622-4950;True;NAN;Magnetar;9;333.849035;-0.101993;4.3261;1.7
SwiftJ1818.0-1607;True;NAN;Magnetar;4.8;14.81535;-0.138088;1.36;5
SGRJ1830-0645;FALSE;NAN;Magnetar;10;24.55392;1.501437;10.41572;0.79
3XMMJ1852+0033;FALSE;NAN;Magnetar;7.1;33.578554;-0.045068;11.55871346;0.014
SwiftJ1555.2-5402;FALSE;NAN;Magnetar;5;327.872705;-0.334518;3.861001597639;2.2
